Title,Subject,URLS,Reason,Paywalled,Notes
Construction Principles of Physical Fitness Training Objective System Based on Machine Learning and Data Mining,(B/T) Data Science;(SOC) Sports and Recreation;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Research on Digital Representation of Xiaopi Kiln Ceramic Art Design Based on Computer-Aided Technology and IoT Network,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(HUM) Arts - General;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Blockchain-Based Dangerous Driving Map Data Cognitive Model in 5G-V2X for Smart City Security,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(B/T) Transportation;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Application of Grammar Error Detection Method for English Composition Based on Machine Learning,(B/T) Data Science;(SOC) Communications;(SOC) Linguistics;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,Journal gives affiliation as USA in error.
Development of Integrated Neural Network Model for Identification of Fake Reviews in E-Commerce Using Multidomain Datasets,(B/T) Business - Marketing;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Intelligent Management of Air Traffic Flow Based on Intelligent Motion Coordinate Data Model,(B/T) Computer Science;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Data Integration Method Design of Decision Spatial Information System,(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Empirical Research on the Prediction Effect of Volatility Model Based on the Perspective of Investor Sentiment Health and Market Liquidity,(B/T) Business - Economics;(B/T) Business - General;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,See also: https://pubpeer.com/publications/B53F6158AD00C5F297A01C4AEC9E8E
A Survey on Information-Centric Networking with Cloud Internet of Things and Artificial Intelligence,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(SOC) Communications;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Application of Machine Learning in Rheumatic Immune Diseases,(B/T) Data Science;(HSC) Medicine - Immunology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Automatic Mining Method of Group Behavior Patterns Based on Incremental Spatiotemporal Trajectory Big Data,(B/T) Data Science;(SOC) Sociology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Higher Education Management Analysis of Smart Transportation Big Data Application under the Background of Internet +,(B/T) Data Science;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
College Classroom English Teaching Methods and Practice Based on Big Data Technology,(B/T) Data Science;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Artificial Intelligence for Higher Education Development and Teaching Skills,(B/T) Data Science;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
The Application of Intelligent Computation (Artificial Neural Network—ANN) Prediction of Sweet Gas Concentration in a Gas Absorption Column,(B/T) Computer Science;(B/T) Data Science;(PHY) Energy;,,Lack of Approval from Third Party;Legal Reasons and/or Threats;Removed;,No,
Rule-Based AI System Application on College English Teaching Path Based on Computer-Aided Technology,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Artificial Intelligence for Education and Teaching,(B/T) Data Science;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Computational English Online Teaching Monitoring System Based on Deep Learning Algorithm,(B/T) Data Science;(B/T) Technology;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Analysis of Different Keying Modes and Brain Sound Image Establishment Mode in Piano Playing,(B/T) Data Science;(BLS) Neuroscience;(HUM) Arts - Music;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Artificial Intelligence in Recording the Number of Times the Ball Has Crossed the Net in a Badminton Game,(B/T) Data Science;(SOC) Sports and Recreation;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
English Speech Feature Recognition-Based Fuzzy Algorithm and Artificial Intelligent,(B/T) Data Science;(SOC) Linguistics;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Empathy Theory and Casework Problem Solving Based upon Social Network Analysis,(B/T) Data Science;(SOC) Psychology;(SOC) Sociology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
A Corpus-Based and Fuzzy Assessment-Based Study of Labels in Spoken English,(B/T) Data Science;(SOC) Linguistics;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Clinical Characteristics of Patients with Pulmonary Thromboembolism Based on Computer Statistical Analysis,(B/T) Data Science;(HSC) Medicine - Cardiovascular;(HSC) Medicine - Pulmonology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Rendering and Optimization Algorithm of Digital City’s 3D Artistic Landscape Based on Virtual Reality,(B/T) Computer Science;(B/T) Data Science;(B/T) Urban Planning;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Application of Improved Machine Learning and Fuzzy Algorithm in Educational Information Technology,(B/T) Data Science;(B/T) Technology;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Application of Internet of Things Technology in Vocal Music Teaching Recording Equipment Assisted by Machine Learning,(B/T) Data Science;(B/T) Technology;(HUM) Arts - Music;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Author Unresponsive;Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Spatiotemporal Evolution of Regional Green Economy under Administrative Division Adjustment on Applications of Artificial Intelligence: A Case Study of the Guangdong-Hong Kong-Macao Greater Bay Area,(B/T) Business - Economics;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Diversified Integration and Integrated Application of Ideological and Political Teaching Resources Based on Artificial Intelligence Model Algorithm,(B/T) Data Science;(SOC) Education;(SOC) Political Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
College Sports Multimedia Network Based on Wireless Communication and Deep Learning Network Environment,(B/T) Data Science;(SOC) Communications;(SOC) Sports and Recreation;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
An Old Photo Image Restoration Processing Based on Deep Neural Network Structure,(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Multimodal Emotion Recognition Algorithm for Artificial Intelligence Information System,(B/T) Data Science;(SOC) Psychology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Text Mining Based on the Lexicon-Constrained Network in the Context of Big Data,(B/T) Data Science;(SOC) Linguistics;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Design of Embedded Ai Engine Based on the Microkernel Operating System,(B/T) Computer Science;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Dynamic Early Warning Method of Multiclassification Financial Crisis of Listed Companies Based on Particle Swarm Optimization,(B/T) Business - Economics;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Software Vulnerability Mining Techniques Based on Data Fusion and Reverse Engineering,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Digital Transformation of Enterprise Finance under Big Data and Cloud Computing,(B/T) Business - Accounting;(B/T) Business - Economics;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Computational Technologies for the Wearable Sports Training System Based on Sensor Acquisition,(B/T) Data Science;(B/T) Technology;(HSC) Medicine - Sports;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Effect of Protein Nutrition Level on Protein Metabolism during Volleyball Exercise Based on Edge Computing in the Medical System,(B/T) Data Science;(B/T) Technology;(BLS) Nutrition;(HSC) Medicine - Sports;(HSC) Sports Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Data Processing Method of Distributed Parallel Database System Based on Wireless Network,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Artificial Intelligence in Construction of English Classroom Situational Teaching Mode Based on Digital Twin Technology,(B/T) Data Science;(B/T) Technology;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Research on Emotion Recognition of EEG Signal Based on Convolutional Neural Networks and High-Order Cross-Analysis,(B/T) Data Science;(HSC) Medicine - Neurology;(HSC) Medicine - Psychiatry;(SOC) Psychology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Perception and Recognition of Upper Limb Movement Trajectory of Aerobics Based on Multi-Intelligent Sensors,(B/T) Data Science;(B/T) Technology;(HSC) Sports Science;(PHY) Engineering - General;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Influence of Internet Language Violence on Young Students’ Mental Health and Intervention Countermeasures,(B/T) Data Science;(B/T) Technology;(HSC) Medicine - Psychiatry;(SOC) Linguistics;(SOC) Psychology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Monitoring and Analysis of Youth Sports Physique by Intelligent Medical Robot Based on Cognitive Computing,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(HSC) Sports Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Correlation Analysis of Vaspin Gene Polymorphisms and Polycystic Ovary Syndrome Based on Intelligent Medicine,(B/T) Data Science;(BLS) Genetics;(HSC) Medicine - Obstetrics/Gynecology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
The Design of a Dual Servo Drive and Control Integrated Platform Based on VNet Neural Network,(B/T) Data Science;(B/T) Technology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Deep and Reinforcement Learning Technologies on Internet of Vehicle (IoV) Applications: Current Issues and Future Trends,(B/T) Data Science;(B/T) Technology;(B/T) Transportation;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Application of Deep Learning Technology in Glioma,(B/T) Data Science;(HSC) Medicine - Neurology;(HSC) Medicine - Oncology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,See also: https://pubpeer.com/publications/B474FD7BE64F30CFF56A842286E21E
Multimodal English Teaching Classroom Interaction Based on Artificial Neural Network,(B/T) Data Science;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Research on Intelligent Function Design of Vocational Education System under Mobile Learning Mode,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Countermeasures for the Development of Data Integration of the Internet Ice and Snow Tourism Industry under the Background of Artificial Intelligence,(B/T) Data Science;(SOC) Sports and Recreation;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Badminton Backcourt Stroke Route Planning Method Based on Deep Learning,(B/T) Data Science;(SOC) Education;(SOC) Sports and Recreation;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Curriculum Design of Art Higher Vocational Education Based on Artificial Intelligence Assisted Virtual Reality Technology,(B/T) Data Science;(B/T) Technology;(HUM) Arts - General;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Artificial Intelligence Assists the Construction of Quantitative Model for the High-Quality Development of Modern Enterprises,(B/T) Business - Management;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Application of Intelligent Archives Management Based on Data Mining in Hospital Archives Management,(B/T) Business - Management;(B/T) Data Science;(HSC) Medicine - General;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,See also: https://pubpeer.com/publications/FE643B88D16AEA867ED6FE97E198F6
Analysis of Human Reliability in Fever Clinics during the Epidemic Based on the DEMATEL Method,(B/T) Data Science;(HSC) Medicine - General;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Packaging Big Data Visualization Based on Computational Intelligence Information Design,(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Design and Optimization of Urinary Real-Time Nursing Model Based on Medical Internet of Things,(B/T) Data Science;(HSC) Medicine - Nursing;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Automatic Control of Mobile Industrial Robot Based on Multiobjective Optimization Strategy,(B/T) Data Science;(B/T) Technology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Construction of Economic Management Big Data Platform Based on Artificial Intelligence Algorithm Monitoring and Early Warning,(B/T) Business - Economics;(B/T) Business - Management;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
An Improved Method Research on Graphics and Image Processing System,(B/T) Computer Science;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Prediction of Coal Mining Subsidence Based on Machine Learning Probability Theory,(B/T) Data Science;(HSC) Public Health and Safety;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Design of Customer Churn Early Warning System Based on Mobile Communication Technology Based on Data Mining,(B/T) Business - Marketing;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Research on the Application of Data Mining Technology in College Students’ Mental Health Education in the Network Age,(B/T) Data Science;(SOC) Education;(SOC) Psychology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Big Data Mining Method of E-Commerce Consumption Pattern Based on Mobile Platform,(B/T) Business - Marketing;(B/T) Data Science;(B/T) Technology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
5G-Based Information Platform Design of Tourist Attractions in the Context of Mobile Big Data,(B/T) Data Science;(B/T) Technology;(SOC) Sports and Recreation;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Research on Marketing Management Risk Decision Model Based on LINEST Function,(B/T) Business - Marketing;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Parallel Bookkeeping Path of Accounting in Government Accounting System Based on Deep Neural Network,(B/T) Business - Accounting;(B/T) Data Science;(B/T) Government;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Design and Implementation of Human Motion Monitoring System on Account of Intelligent Computing of Internet of Things,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
Application of Neural Network in the Stability of Biped Robot and Embedded Control of Walking Mode,(B/T) Data Science;(B/T) Technology;(PHY) Engineering - General;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Wireless Sensor System of UAV Infrared Image and Visible Light Image Registration Fusion,(B/T) Data Science;(B/T) Technology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;Objections by Author(s);,No,
The Research of Multimedia Complex Intelligent System in Financial Reporting Mode,(B/T) Business - General;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Research on Collaborative Optimization Model of Tourism Resources and Highway Network Based on IoT Network and Deep Learning,(B/T) Data Science;(B/T) Technology;(B/T) Transportation;(SOC) Sports and Recreation;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
The Mental Health and Grade Point Average among College Students from Lower Socioeconomic Status Based on Healthcare Data Analysis,(B/T) Data Science;(SOC) Psychology;(SOC) Sociology;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
A Method for Detection of Rare Industrial Fake Film Based on Deep Learning,(B/T) Business - Manufacturing;(B/T) Data Science;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Application of Feature Selection Based on Elastic Network and Random Forest in the Evaluation of Sports Effects,(B/T) Data Science;(SOC) Sports and Recreation;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
Development of the Music Teaching System Based on Speech Recognition and Artificial Intelligence,(B/T) Data Science;(HUM) Arts - Music;(SOC) Education;,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/,Concerns/Issues with Peer Review;Investigation by Journal/Publisher;,No,
